Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 18:46:48.956,True,(-0.29;20.97;-83.67),(-8.25;-64.92;42.54),(-0.59;20.68;-83.34),(30.64;68.70;8.46),0.22,0.05,0.01,85.68,31.68,82.53
1,2023-06-01 18:46:48.967,True,(-0.30;20.97;-83.67),(-7.79;-65.33;43.31),(-0.60;20.68;-83.34),(29.77;68.28;8.24),0.22,0.05,0.01,85.86,30.79,82.82
1,2023-06-01 18:46:48.978,True,(-0.31;20.97;-83.67),(-7.24;-65.61;44.19),(-0.61;20.68;-83.34),(28.77;68.01;8.01),0.21,0.05,0.01,85.90,29.77,82.99
1,2023-06-01 18:46:48.989,True,(-0.32;20.97;-83.67),(-6.88;-65.92;44.94),(-0.62;20.68;-83.34),(27.97;67.65;7.72),0.20,0.05,0.01,86.02,28.93,83.25
1,2023-06-01 18:46:48.999,True,(-0.32;20.97;-83.67),(-6.61;-66.32;45.77),(-0.62;20.68;-83.35),(27.19;67.15;7.30),0.19,0.05,0.01,86.22,28.08,83.64
1,2023-06-01 18:46:49.011,True,(-0.33;20.97;-83.68),(-6.64;-66.77;46.56),(-0.63;20.68;-83.35),(26.64;66.52;6.68),0.18,0.05,0.02,86.51,27.41,84.18
1,2023-06-01 18:46:49.023,True,(-0.34;20.97;-83.68),(-6.61;-67.24;47.10),(-0.64;20.68;-83.35),(26.23;65.94;6.29),0.17,0.06,0.02,86.87,26.92,84.68
1,2023-06-01 18:46:49.033,True,(-0.34;20.98;-83.68),(-6.57;-67.60;47.33),(-0.65;20.68;-83.35),(26.04;65.53;6.14),0.17,0.06,0.02,87.19,26.71,85.03
1,2023-06-01 18:46:49.045,True,(-0.35;20.98;-83.68),(-6.47;-67.77;47.53),(-0.65;20.69;-83.35),(25.83;65.35;6.07),0.16,0.06,0.02,87.31,26.48,85.18
1,2023-06-01 18:46:49.055,True,(-0.35;20.98;-83.68),(-6.45;-67.65;47.74),(-0.66;20.69;-83.35),(25.65;65.44;5.93),0.15,0.06,0.02,87.15,26.29,85.10
1,2023-06-01 18:46:49.066,True,(-0.36;20.98;-83.68),(-6.39;-67.58;48.60),(-0.66;20.69;-83.35),(25.00;65.35;5.33),0.15,0.06,0.02,86.92,25.52,85.15
1,2023-06-01 18:46:49.078,True,(-0.36;20.98;-83.68),(-6.31;-67.76;50.09),(-0.66;20.69;-83.35),(23.86;64.91;4.29),0.14,0.06,0.02,86.84,24.22,85.51
1,2023-06-01 18:46:49.089,True,(-0.37;20.98;-83.68),(-6.23;-68.12;51.59),(-0.67;20.69;-83.35),(22.70;64.31;3.27),0.14,0.06,0.02,86.96,22.92,86.03
